Name;Artwork type;Artist name;Latitude;Longitude
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;50.6327212;3.062612
Monument à François 1er;;Antoine Etex;45.6933354;-0.3252694
PA1372 gros noir jaune boulangerie;;;48.8958661;2.3466194
Homeless;graffiti;C215;43.4923273;-1.473707
Jeanne d'Arc;sculpture;;50.2145381;1.6284513
Statue de Rouget de Lisle;statue;Frédéric-Auguste Bartholdi;46.6731951;5.5570832
;mural;;45.1736089;5.7275353
Calme Hellenique;;;43.8896563;-0.5011638
Vierge blanche;;;45.1430011;4.6639439
Statue d'Alfred de Vigny;;;47.129345;0.9988406
Sphinx;statue;Jean-Marc Bonnard;45.4312851;4.3878183
;sculpture;;45.4425;4.4005565
Statue de la Vierge;;;43.7990369;2.6179535
;statue;;44.4367761;2.0318751
Vierge;statue;;44.4542818;4.8208202
L'Homme Oiseau;sculpture;Albert Marchais;43.5218391;4.1251016
Statue de Notre-Dame;;;44.9595556;3.5595996
Notre-Dame de Monton;sculpture;;45.6795682;3.1576806
Napoléon;statue;Armand Le Véel;49.6430786;-1.624134
Statue de Marie Harel;statue;;48.9280665;0.1975974
Fontaine Wallace;fontaine Wallace;;46.566247;3.3351536
PA1264 dans le musée en herbe;;;48.8600524;2.3422352
Ancienne Ruche;;;48.8624633;2.3483294
La Madonne;statue;;46.6004132;5.5110494
Eurydice mordue par un serpent;statue;Charles-François Leboeuf;48.8669158;2.3394407
Statue de la fontaine Saint-Pierre;;;46.9287734;6.3516558
Invader drapeau;;;48.8643625;2.3475928
;sculpture;;48.8926034;2.195735
PA156;;;48.859895;2.3541682
PA956 au dessus du bistrot;;;48.8668763;2.3534143
PA193 rouge et vert;;;48.8652805;2.3564871
maison a colombages;;;48.864718;2.3568299
PA491 pê désactivé;;;48.8619486;2.3569088
Domaine Guillevic;;;48.0785277;6.0526721
;graffiti;C215;48.8077481;2.333336
Arc de triomphe pour Figurois et Figurennes;sculpture;Erik Dietman;48.0986984;-1.648407
Statue équestre de Jeanne d'Arc;statue;Antonin Mercié;43.6086083;1.4459115
Fresque Maison de l'Étudiant;mural_painting;Liken;43.3135116;-0.3670706
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;43.3047952;5.3956172
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;43.2805397;5.3687739
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;43.2950585;5.3863584
Square des Droits de l'Enfant;statue;;43.647333;0.5906186
Statue du Volontaire de 1792;sculpture;;48.0173181;6.5897047
Statue de Louis Pasteur;statue;Alphonse Cordonnier;50.6279692;3.0613167
Statue de Léon Trulin;statue;Edgar Boutry;50.6375013;3.0657009
Galerie Kamel Mennour;;;48.8553093;2.3400644
;mosaic;Invader;45.7771857;3.0893955
;mosaic;Invader;45.7784167;3.0872522
;mosaic;Invader;45.777106;3.0860983
;sculpture;;43.296982;5.3813277
;sculpture;;43.301114;5.3859447
;sculpture;;43.3010416;5.3860098
;sculpture;;43.2957035;5.3806564
;sculpture;;43.2990278;5.3881216
;sculpture;;43.3010217;5.3877307
;sculpture;;43.3005693;5.3847275
;sculpture;;43.2960164;5.3809818
;sculpture;;43.3005074;5.3816945
;sculpture;;43.3026422;5.3925337
;sculpture;;43.2998968;5.3786444
;sculpture;;43.2963281;5.3868222
;sculpture;;43.2922906;5.3773434
;sculpture;;43.2986586;5.3857721
;sculpture;;43.2987568;5.3852364
;sculpture;;43.2984524;5.3856937
;sculpture;;43.2957575;5.3807113
Statue de Saint-Éloi;;;45.0393858;5.924189
;sculpture;;43.2969628;5.384046
;sculpture;;43.2982204;5.387734
;sculpture;;43.3003422;5.384222
;sculpture;;43.2982836;5.3877616
;mural;;47.9511932;1.8760004
Le Chat Perché;sculpture;;48.8898632;2.2108034
;sculpture;;48.8753232;2.3164052
;sculpture;;43.2955269;5.3874753
;sculpture;;43.2949489;5.3941186
;sculpture;;43.2931256;5.3890996
;sculpture;;43.2929781;5.3928561
;sculpture;;43.2893459;5.3884288
;sculpture;;43.292314;5.383145
;sculpture;;43.2935064;5.3829381
;sculpture;;43.2882766;5.3844005
;sculpture;;43.2935862;5.3828959
;sculpture;;43.2885656;5.3853692
;sculpture;;43.2921931;5.3834515
;sculpture;;43.2890923;5.3839839
;sculpture;;48.8625656;2.3298422
;sculpture;;48.8633395;2.3294271
;sculpture;;48.8631885;2.3287446
;sculpture;;48.8627863;2.3299951
;sculpture;;48.8632901;2.3292945
;sculpture;;48.8631978;2.3288783
;sculpture;;45.1653996;5.6289183
;mural;Jokolor et ses apprentis peintres;44.5616978;2.2510305
;mural;Romain Froquet;44.5634777;2.2509684
;mural;Seb Toussain;44.5631423;2.2415206
;mural;Lady M;44.5635623;2.2510448
Écrivains du XXe siècle (Hugues Le Roux. La Villehervé. Laurent-Cernières);sculpture;René Mérelle;49.4942802;0.1030583
;Horloge;;47.8862113;7.2284681
;fontaine Wallace;Charles-Auguste Lebourg;44.8483642;-0.5789228
;sculpture;;47.3883209;0.6578202
Statue du Duc Decazes;statue;;44.5564396;2.2569967
;mural;Sifat;44.5561435;2.2646948
Statue du Mineur;;;44.5271011;2.2461362
Chevreuil;sculpture;;42.5119094;2.0505882
L'Oiseau Phénix;;;47.8863509;-2.7334803
;rostral column;;48.8655646;2.319901
;rostral column;;48.8665695;2.3215417
;rostral column;;48.8660582;2.320262
;rostral column;;48.865018;2.3220832
;rostral column;;48.866371;2.3221632
;rostral column;;48.8643839;2.320712
;rostral column;;48.8652707;2.3222706
Le Centaure;sculpture;César;48.8519229;2.3295722
André Bouéry;statue;;43.0145591;0.802726
Statue de Sainte Germaine;statue;;44.6792927;3.8426664
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;47.086393;2.3967361
Don Quichotte;;;47.3864517;0.723333
Saint-Christophe;statue;;43.8618842;4.6940573
Rooble;graffiti;Les frères coulures;44.8454495;-0.556206
;streetart;;48.5080273;-2.7531014
Fontaine Wallace;fontaine Wallace;Charles-Auguste Lebourg;48.8316177;2.3780517
Fontaine Wallace;;Charles-Auguste Lebourg;48.8649132;2.4052002
Sculpture of Pascal Paoli;;;42.6343061;8.938333
;mural;;44.8233255;-0.5504521
Lionel Postal;;;43.3256441;2.5302639
Untitled;mural;Cryptik;48.8319987;2.3603119
Ours en bois;sculpture;;44.5285453;2.0565894
;fountain;Jean-Claude Attiret;47.089863;5.4890099
Hector Berlioz;sculpture;;45.188752;5.7248516
Résille;;;45.8956488;2.883506
Statue André Messager;sculpture;;46.3416083;2.6055177
;statue;;43.9464765;4.8073516
;statue;;43.9494399;4.8151992
;statue;;43.9496547;4.8080551
;statue;;43.9505481;4.8143035
;statue;;43.9483239;4.8059695
;statue;;43.9468475;4.8075505
;statue;;43.9484414;4.8038889
;statue;;43.9466184;4.8034093
;statue;;43.9481568;4.8054632
;statue;;43.9518898;4.8050739
;statue;;43.9499096;4.8075238
;painting;"Manon Pochy;Dominique Durand";43.9464623;4.8063537
Notre Dame des enfants;statue;;43.9465589;4.8089194
;statue;;43.9487242;4.8062511
;statue;;43.9482516;4.8122791
;statue;;43.9460928;4.8119074
Vins des cotes du Rhône;statue;Francis Lievore;43.9465961;4.8032915
;sculpture;Tetsuo Harada;48.8925446;2.2065017
;statue;;45.7688121;4.8349199
Le Petit Vigneron;sculpture;F.A. Bartholdi;48.0745748;7.3593441
;graffiti;;50.6237186;3.0931056
Cavallo. San Marco II;sculpture;Ludovico de Luigi;43.2955657;5.3830102
Le temps qui passe;;;48.4454022;0.0578664
;sculpture;;48.8328301;2.2313618
;sculpture;;48.8843473;2.2890956
Fantasia;sculpture;;48.8689675;2.7705024
;sculpture;;48.8753802;2.7808288
Aux enfants morts pour la France;;;46.5830513;0.3361822
La pierre dressée;;;45.1684721;5.7554595
Héraklès archer;sculpture;Antoine Bourdelle;43.6078596;1.4279176
Départ - Les fresques du parcours Rimbaud;mural;2SHY;49.7729196;4.7315705
Maison des métiers d'art;;;45.2275536;6.7407545
;sculpture;Jean-François Briant;48.8448628;2.3887984
Baleine Bleue;sculpture;;48.8447187;2.387511
Monument du 45e Parallèle;sculpture;;45.0007726;4.872846
Chaîne de la Solidarité;;Marco Slinckaert;50.6230757;3.0538674
Le 48e Mobile;statue;Blaise;50.6451173;3.0504421
Statue de Jeanne d'Arc;statue;Paul Dubois;49.2536349;4.0323039
Le Festin des Lions;sculpture;Alfred Jacquemart;48.8436556;2.3554346
Le lion. gardien du Jardin des plantes;sculpture;Alfred Jacquemart;48.8436851;2.3555129
Street art;mural;Jacques Salvignol;50.722601;1.605005
Rhinocéros attaqué par un tigre;sculpture;Auguste Caïn;48.8651981;2.3269895
Lion et lionne se disputant un sanglier;sculpture;Auguste Caïn;48.8651043;2.3272774
La Fontaine des Coeurs;;;44.0339801;4.9911742
Statue de Althen;;;44.0048869;4.9572812
;sculpture;;48.8442139;2.3566261
La Science;sculpture;Eugène Guillaume;48.842251;2.3566614
;sculpture;;48.8434245;2.3636278
Guy-Crescent Fagon;sculpture;;48.8420836;2.3567595
Geoffroy Saint-Hilaire;sculpture;;48.8422052;2.3566882
Gay-Lussac;sculpture;;48.8424524;2.3565434
;statue;;48.8435389;2.3635547
Lamarck;sculpture;;48.8422879;2.3566398
Cuvier;sculpture;;48.8445023;2.3569322
Georges Cuvier;sculpture;;48.8421659;2.3567113
Jussieu;sculpture;;48.8423745;2.356589
Alexandre Brongniart;sculpture;;48.8423314;2.3566143
Premier Artiste;sculpture;Paul Richer;48.8432543;2.3626994
Théodore Monod;sculpture;;48.8433086;2.3562446
Buffon;sculpture;;48.8421274;2.3567338
Guy de la Brosse;sculpture;;48.8420448;2.3567823
René-Just Haüy;sculpture;;48.8424163;2.3565645
Fresque de la Solidarite;;;43.9214881;5.0475478
o8av1s;sculpture;Alain Clément;48.1089734;-1.7079091
Dame Océane;sculpture;;44.7642742;-1.1500816
Édith Piaf 1915 1963;statue;Lisbeth Delisle;48.8648078;2.4053362
Fontaine. Place des Grès;sculpture;Daniel Milhaud;48.8589666;2.4059365
;statue;;49.102906;6.157941
;statue;;49.1030015;6.1581409
Vénus de Canova;statue;Canova;46.6778839;5.5549555
Statue de Tourny;statue;;44.8451038;-0.5779465
Sculpture;;;45.7123578;4.8061323
La Fontaine aux Cygnes;sculpture;Marcel Loyau;48.8434018;2.2461482
;statue;;48.447229;1.487461
La Garonne;sculpture;Antoine Coysevox;48.8053109;2.1199262
La Dordogne;sculpture;Antoine Coysevox;48.8051412;2.1198196
Ernest Meissonier;sculpture;Antonin Mercié;48.9281977;2.0311883
Notre-Dame de la Libération;;;47.2196067;6.0513425
Les sentinelles de la mémoire;;Jorge Soler;47.2440108;6.0168272
;sculpture;;48.8624727;2.3340461
;sculpture;;48.8622674;2.3333107
Harmonie;sculpture;Volti;48.8654667;2.3566228
Pyramide Inversée;architecture;Ieoh Ming Pei;48.8614375;2.3341222
;sculpture;;48.8659664;2.3555977
Gallerie Graffigny;;;48.67027;6.146183
;statue;;45.0684953;4.830028
Ligne indéterminé;sculpture;Bernar Venet;48.5943198;7.758263
Structures astronomiques;sculpture;Jean-Michel Ansel;47.2020747;-1.5773111
Statue Jeanne d'Arc;;;49.4176607;2.8254129
D'abord continuer. ensuite commencer;mural;Anne-Marie Latremolière;48.8491443;2.4742461
Les Anneaux;sculpture;"Daniel Buren;Patrick Bouchain";47.2027636;-1.5723991
Fernandel;sculpture;;43.2951321;5.3909021
;sculpture;;49.1114955;7.0624955
Johannes Nepomuk;statue;;48.997586;7.32014
Hommage à Confucius;statue;Alain Jacquet;43.6309171;3.8611014
La constellation humaine;;Chen Zhen;43.6202513;3.8181811
;sculpture;;48.8477402;2.2409384
;sculpture;;48.846944;2.2387919
Statue de Jeanne d'Arc;statue;;48.5844743;7.7702719
;sculpture;;48.5598194;2.7142824
;sculpture;;48.559964;2.7160535
;sculpture;;48.5598063;2.7140875
;sculpture;;48.5599834;2.7162388
"""Non Violence""";;;49.1978737;-0.3843624
;sculpture;;48.8287786;-0.3832088
Pierre Terrail seigneur de Bayard;sculpture;;45.1930184;5.7284874
Manutea;sculpture;;45.0017974;-1.1964391
;sculpture;;48.8412106;2.3876922
Les Mulhousiens;mural;Fabio Rieti;47.7476628;7.3340983
La petite sirène;sculpture;Noe¨lle Guibert;48.6076106;-4.5090334
Hommage à Sisyphe;sculpture;Mike Sporgis & Laurent Yeonan;48.6081174;-4.5053631
À Perraud;sculpture;Max Claudet;46.6762903;5.5530613
Statues;statue;;43.9390077;6.1951028
Édicule Guimard;;Hector Guimard;48.8797125;2.3548197
Pierre Romaine;sculpture;;43.3840274;-1.3051464
Statues lyriques;statue;Injalbert;44.1363401;4.8087457
;sculpture;;47.7433882;7.3423336
Sur la trace des Vikings;;;49.3212715;1.1017636
Intérieur-Extérieur (Mondineu Denis);sculpture;Denis Mondineu;48.782319;2.0443725
La Perspective (Marta Pan);;;48.7810609;2.0458513
Le Temps. sculpture linéaire (Mondineu Denis);;;48.7881491;2.0441055
Sculpture de Sotor José;;;48.7860473;2.0451319
Grande Girouette (Subira-Puig Jose);;;48.78356;2.0526318
Le repas des Géants (Schultze Klaus);;Klaus Schultze;48.7842579;2.0487365
Paul Claudel (Etienne);;;48.7789695;2.0412845
Eolienne;sculpture;Van Thienen Marcel;48.7818113;2.0523825
Avenue de la République;;Hector Guimard;48.8631903;2.3859426
Galerie Openspace;;;48.8646033;2.3710055
;sculpture;;48.743155;2.764579
Ikaria;sculpture;Igor Mitoraj;48.8952959;2.2369998
Colosse;sculpture;Igor Mitoraj;48.8949381;2.2378428
Statue de Jeanne d'Arc;sculpture;;46.1658654;4.3465826
Gallery of C14/Hapax;;;48.8633284;2.3565463
L'action Enchaînée (A. Maillol);sculpture;;43.9549099;6.8933167
Le Pendule;sculpture;Roman Signer;47.1937181;-1.5858128
;sculpture;;48.4195836;2.7250601
Sainte-Thérèse;statue;;47.1482796;-1.5309058
Exposition peintures;;;47.463076;3.255844
Le Pouce de César;sculpture;César;43.2502632;5.389107
Domaine Universitaire;sculpture;Gérard Ifert;45.1870508;5.7569834
La Cornue;sculpture;Alexander Calder;45.191546;5.7715516
Structure oblique;sculpture;Jean-Claude Barrère;45.1921925;5.7601068
La Vierge Dorée;sculpture;;43.3021132;5.3835707
Statue de David;statue;;43.2618635;5.3747365
;sculpture;;43.2902932;5.3778905
Monument aux morts de l'Armée d'Orient et des terres lointaines;sculpture;;43.2860127;5.35048
Vierge de Vernus;;;44.5164921;2.7808803
Eugène Viala - Peintre Poëte;statue;Marc Robert;44.1823776;2.7892438
;statue;Auguste Carli;43.2891812;5.3666052
;sculpture;;46.0561185;6.5800108
Ceci n’est pas une mappemonde !;sculpture;Éric Fonteneau;47.2511439;-1.6071488
Claude Gay;mural;;43.539357;6.462975
Atelier de Ridha Dhib;;;48.8632716;2.4092517
;sculpture;;43.2963826;5.3802724
Statue de Jean-Francois Millet;;;49.6747892;-1.8010074
Hommage à Picasso Horizon;;;45.4208556;4.3952766
Chorten Goliath;;;48.8196039;7.4626566
Chorten La Porte;;;48.8244035;7.4675936
Chorten Le Casque;;;48.8144597;7.4607089
Chorten Le Masque;;;48.8197919;7.4573795
Statue de Mahé de La Bourdonnais;statue;;48.6462122;-2.0236223
Gorodka;;;44.8569732;1.2348632
"Totem ""Armor""";sculpture;Patrig Ar Goarnig;48.2145086;-4.0530327
"Totem ""Argoat""";sculpture;Patrig Ar Goarnig;48.2152814;-4.0510069
Cheval;;;43.2322158;0.07812
Loup;sculpture;Christian Burger;45.1648785;6.4256557
Fresque du Demi-Millénaire - Part 2;mural;Association du Demi-Millenaire - Les elephants heureux;45.7242776;4.8539418
Statue de la Sasson;statue;;45.568176;5.9210125
[REMOVED 2017];;;43.5251722;0.1615022
Statue du Docteur Philippe Pinel;sculpture;;48.8404536;2.3626498
Milan Rastislav Štefánik;sculpture;;48.8046768;2.2313561
Nomade;statue;Jaume Pensa;43.584952;7.130666
Jules Janssen;statue;;48.8055031;2.2331106
Mon Oncle;statue;Mélanie Quentin;48.8123083;2.4732587
La Forge;;;48.871684;2.3797664
;sculpture;;45.7694099;4.8794433
Grotte;;;48.8169097;2.1085559
Gladiateur combattant;statue;Nicolas Coustou;48.8031305;2.1168411
;statue;;48.8032294;2.1161582
;statue;;48.8032661;2.11602
Faune au chevreau;statue;;48.8033224;2.1161309
;statue;;48.8033787;2.1162315
;statue;;48.8034079;2.1161018
Minerve;statue;;48.8035075;2.1154311
Vase entouré de lierre;ornamental_vase;Mélo;48.8035559;2.1119707
Femme drapée;statue;;48.8035831;2.1126875
Vénus;statue;;48.803718;2.1130614
Sacrifice dyonisiaque;ornamental_vase;Jean Rousselet;48.8039322;2.111591
Appolon Pothos;statue;;48.8040047;2.1132202
Flore Farnèse;sculpture;Raon;48.804221;2.1098667
Marsyas et Olympe;sculpture;Jean-Baptiste Goy;48.8042252;2.1166856
Femme Drapée;statue;;48.8042705;2.1130912
L'ivresse de Silène;ornamental_vase;Jean Rousselet;48.8045521;2.1119671
L'Eau;sculpture;Legros;48.8045684;2.1182524
;sculpture;;48.8046134;2.1171598
Vase entouré de lierre;ornamental_vase;Mélo;48.8046113;2.1126237
;sculpture;;48.804632;2.1102809
Le Printemps;sculpture;Laurent Magnier;48.804691;2.1183178
Antinoüs;sculpture;Pierre Le Gros;48.8047399;2.1167067
Le Point du Jour;sculpture;Marsy;48.8047553;2.1182086
Le Poème Lyrique;sculpture;Tuby;48.8047612;2.1180372
Mercure;sculpture;Mélo;48.8048094;2.1164539
Uranie;sculpture;Martin Cartier;48.8048784;2.1161986
;sculpture;;48.8049055;2.1107067
;sculpture;;48.804936;2.1106712
;sculpture;;48.8049612;2.1104903
;sculpture;;48.8049706;2.1105402
;statue;;48.8050071;2.1169641
;statue;;48.8050614;2.1173054
Le Gladiateur mourant Ludovisi;sculpture;Monier;48.805071;2.1160049
Hercule Farnèse;sculpture;Cornu;48.8051147;2.1104155
;ornamental_vase;;48.8052452;2.1173771
;sculpture;;48.8053003;2.1158361
;sculpture;;48.8053645;2.1118181
;sculpture;;48.8054263;2.1117533
;sculpture;;48.8054729;2.1159386
;sculpture;;48.8054731;2.1120522
Le sacrifice d'Iphigénie;ornamental_vase;Cornu;48.8054834;2.1172625
Vase aux raisins;ornamental_vase;Claude Bertin;48.8055139;2.1214696
;sculpture;;48.8055341;2.1119878
;sculpture;;48.8055439;2.1115869
;sculpture;;48.8055729;2.1159439
;ornamental_vase;;48.8056579;2.1157464
Vase aux rameaux de chêne;ornamental_vase;;48.8056708;2.1208859
;sculpture;;48.8056797;2.1118754
Alexandre le Grand;sculpture;;48.8056934;2.1114721
Bacchanale;ornamental_vase;Cornu;48.8057099;2.1174066
Apollon;sculpture;;48.8057512;2.111411
;sculpture;;48.805799;2.1117088
Aria et Poetus;sculpture;;48.8058048;2.115708
L'Air;sculpture;Le Hongre;48.8058113;2.1188514
Vase aux rameaux de chêne;ornamental_vase;;48.8058199;2.1203365
;ornamental_vase;;48.8058397;2.1177397
;sculpture;;48.8058614;2.1116433
La Mélancolique;sculpture;;48.805874;2.1187266
Le Midi ou Vénus;sculpture;Marsy;48.8059242;2.1190699
;ornamental_vase;;48.8059266;2.1153472
Vase aux raisins;ornamental_vase;Claude Bertin;48.8059734;2.1197519
;statue;;48.8060148;2.1178856
La Fidélité;statue;Armand Lefebvre;48.8060024;2.1150599
Antinoüs;sculpture;Pierre Le Gros;48.806055;2.1186242
L'Europe;sculpture;Pierre Mazeline;48.8060691;2.119159
Vénus;statue;Richelieu;48.806106;2.1146584
L'Enlèvement de Proserpine par Pluton;statue;;48.8061192;2.1124024
;statue;;48.8061976;2.1177176
Loacoon et ses fils;sculpture;;48.8061892;2.1159262
;ornamental_vase;;48.8061894;2.1143667
Tigrane;sculpture;Mathieu Lespagnandelle;48.8061991;2.1184696
L'Afrique;sculpture;"Jean Cornu;Sibrayque";48.8062135;2.1192453
Papitius et sa mère;sculpture;;48.8062458;2.1163591
Le Poème Héroïque;statue;Drouilly;48.8062496;2.1221177
;ornamental_vase;;48.8062502;2.1155255
;ornamental_vase;;48.8062647;2.1140613
;ornamental_vase;;48.8062851;2.1161128
Flegmatique;statue;Lespagnandelle;48.8063076;2.1218925
Hercule;sculpture;Le Conte;48.8063075;2.1164582
Vase Jeux d'enfants;ornamental_vase;;48.8063168;2.1211768
La Fourberie;statue;Le Conte;48.8063296;2.1152393
Faune au Chevreau;statue;;48.8063436;2.1137658
La Nuit;sculpture;Jean Raon;48.8063575;2.1193335
L'Asie;statue;Roger;48.8063695;2.1216577
Vase Jeux d'enfants;ornamental_vase;;48.8064157;2.1208216
Poème satyrique;statue;Buyster;48.8064293;2.121436
Junon;statue;;48.8064358;2.1148616
Didon;statue;Jean-Baptiste Poultier;48.8064409;2.1133894
Bacchante;sculpture;Dedieu;48.8064828;2.1165717
Faustine;sculpture;Regnaudin;48.8064871;2.1177781
La Terre;sculpture;Benoît Massou;48.806504;2.1194204
;ornamental_vase;;48.8065166;2.1145686
Vase aux Tournesols;ornamental_vase;Sébastien Slodtz;48.8065368;2.1130372
Hercule Commode;sculpture;Coustou;48.8065538;2.1175256
Nymphe à la coquille Borghèse;sculpture;"Sucheret;Coysevox";48.8065736;2.1169302
;ornamental_vase;;48.8065958;2.1142684
Le Faune;sculpture;Houzeau;48.8066623;2.1166648
L'hiver;statue;François Girardon;48.8066134;2.1207432
